latitude,longitude,reflectivity_dbz,rainfall_rate_mm_hr,rainfall_intensity_category,timestamp
22.226887,88.12005,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.560482,88.298793,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.471361,87.625657,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.418488,87.236347,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.5697,88.3697,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.478602,88.003439,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.297602,88.199964,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.510968,90.094826,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.334679,86.816325,60.0,328.354,Very Heavy,2025-04-27 00:22:33
20.668671,87.291576,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.118225,86.802415,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.977112,89.080603,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.210434,87.595565,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.306901,88.218705,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.214983,87.133109,60.0,328.354,Very Heavy,2025-04-27 00:22:33
20.679785,87.386156,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.5697,88.3697,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.192251,89.209002,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.874674,88.036418,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.000005,88.969577,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.56391,88.280411,60.0,328.354,Very Heavy,2025-04-27 00:22:33
20.87058,87.67238,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.339759,88.269273,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.543993,88.393054,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.157992,88.742321,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.369049,88.286419,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.448366,86.172614,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.574535,89.731287,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.706663,90.769402,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.603072,89.151582,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.65471,88.425056,60.0,328.354,Very Heavy,2025-04-27 00:22:33
24.343838,88.026326,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.077156,88.447224,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.600941,88.527864,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.191571,88.405428,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.656273,89.055469,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.884641,89.201278,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.131968,88.20702,60.0,328.354,Very Heavy,2025-04-27 00:22:33
20.8077,87.757738,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.410368,89.506339,60.0,328.354,Very Heavy,2025-04-27 00:22:33
20.576515,87.719348,60.0,328.354,Very Heavy,2025-04-27 00:22:33
24.629958,87.929108,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.588966,88.486596,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.066537,88.992409,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.563534,88.011729,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.427063,87.988974,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.566126,89.444736,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.033197,88.01992,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.577691,87.814787,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.026702,89.24721,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.003706,88.239957,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.23517,87.562847,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.138859,87.33303,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.612166,88.169535,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.047354,89.129359,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.962863,89.849055,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.59484,88.054653,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.643896,88.693203,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.421262,88.026187,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.560192,88.426328,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.890351,88.445392,60.0,328.354,Very Heavy,2025-04-27 00:22:33
24.094736,88.044938,60.0,328.354,Very Heavy,2025-04-27 00:22:33
20.589646,89.056325,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.63524,87.531101,60.0,328.354,Very Heavy,2025-04-27 00:22:33
24.081583,90.094937,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.856846,89.887268,60.0,328.354,Very Heavy,2025-04-27 00:22:33
20.966191,88.3697,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.716877,88.518556,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.264538,88.418603,60.0,328.354,Very Heavy,2025-04-27 00:22:33
20.887595,88.495576,60.0,328.354,Very Heavy,2025-04-27 00:22:33
20.755661,88.505327,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.870495,87.021368,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.653492,87.713368,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.398095,88.457684,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.733331,88.512289,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.772748,88.523951,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.842486,88.083592,60.0,328.354,Very Heavy,2025-04-27 00:22:33
24.380156,87.947139,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.445307,88.403027,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.223631,88.310492,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.285143,88.490297,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.638039,87.946367,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.453903,88.516884,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.066444,88.360221,60.0,328.354,Very Heavy,2025-04-27 00:22:33
20.724425,88.335268,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.508313,88.550362,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.863111,86.496856,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.081277,88.462633,60.0,328.354,Very Heavy,2025-04-27 00:22:33
20.745993,88.713439,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.77492,87.009887,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.15766,88.663927,60.0,328.354,Very Heavy,2025-04-27 00:22:33
20.573219,88.784021,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.065388,88.228686,60.0,328.354,Very Heavy,2025-04-27 00:22:33
20.931665,88.216293,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.811063,88.346018,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.734985,88.372828,60.0,328.354,Very Heavy,2025-04-27 00:22:33
20.366984,88.122828,60.0,328.354,Very Heavy,2025-04-27 00:22:33
20.713426,88.055483,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.016205,86.199586,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.272833,88.794965,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.818898,87.347605,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.293651,89.335385,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.003589,88.568046,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.972132,88.579018,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.652644,89.168565,60.0,328.354,Very Heavy,2025-04-27 00:22:33
20.477081,89.09478,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.678433,88.699808,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.633925,88.426057,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.733696,88.099392,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.853101,88.519759,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.123554,88.824037,60.0,328.354,Very Heavy,2025-04-27 00:22:33
20.525727,87.661231,60.0,328.354,Very Heavy,2025-04-27 00:22:33
24.443899,89.513172,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.933194,89.232356,60.0,328.354,Very Heavy,2025-04-27 00:22:33
20.951989,89.139982,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.904073,89.555425,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.847932,87.431369,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.670143,88.820739,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.844629,87.543742,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.298094,89.170367,60.0,328.354,Very Heavy,2025-04-27 00:22:33
20.938877,87.519319,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.301514,89.062397,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.345991,88.518796,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.287883,89.003944,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.569954,88.598157,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.512816,88.611115,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.377624,89.137674,60.0,328.354,Very Heavy,2025-04-27 00:22:33
20.862678,89.42216,60.0,328.354,Very Heavy,2025-04-27 00:22:33
20.776437,89.474577,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.366252,88.756245,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.059248,88.700413,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.16148,86.90781,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.168676,89.380726,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.681217,88.989766,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.48746,88.429729,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.355217,88.195018,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.726321,88.434887,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.464059,88.455824,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.5697,88.3697,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.988456,88.264675,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.965136,87.522061,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.987145,88.750599,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.852117,88.972783,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.407427,89.342562,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.423594,88.679275,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.338219,88.159829,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.674614,88.146217,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.150733,87.000982,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.863489,87.76776,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.116779,87.242915,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.087016,89.343455,60.0,328.354,Very Heavy,2025-04-27 00:22:33
20.903091,89.913557,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.725035,90.133954,60.0,328.354,Very Heavy,2025-04-27 00:22:33
20.940617,89.93288,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.969876,88.931031,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.605966,88.406337,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.209158,89.019832,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.483786,88.121169,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.659165,88.595835,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.74445,89.140301,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.268187,87.116907,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.897007,87.726205,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.842647,86.944143,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.32838,88.839014,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.01837,90.022482,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.921994,86.670813,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.488581,88.582684,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.667785,88.394241,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.784336,89.213084,60.0,328.354,Very Heavy,2025-04-27 00:22:33
20.622764,88.926721,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.232507,88.255454,60.0,328.354,Very Heavy,2025-04-27 00:22:33
23.828962,88.151658,60.0,328.354,Very Heavy,2025-04-27 00:22:33
20.500662,88.920085,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.237339,86.791359,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.527688,88.325784,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.238514,87.91263,60.0,328.354,Very Heavy,2025-04-27 00:22:33
22.695611,88.159312,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.938797,89.149795,60.0,328.354,Very Heavy,2025-04-27 00:22:33
21.533167,86.90048,60.0,328.354,Very Heavy,2025-04-27 00:22:33
