latitude,longitude,reflectivity_dbz,sweep_number,elevation_angle,rainfall_rate_mm_hr,rainfall_intensity_category,timestamp
22.214983,87.133109,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
24.446645,88.845797,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
22.118225,86.802415,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
21.393559,90.094736,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
22.842486,88.083592,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
24.739421,87.861838,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
21.512816,88.611115,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
21.569954,88.598157,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
22.603801,88.248719,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
22.956348,86.974814,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
22.683495,88.398175,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
22.873328,87.278722,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
23.238576,87.85939,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
22.684715,88.347719,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
22.764088,89.29528,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
23.187392,86.255051,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
23.06566,86.779389,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
22.667451,88.767027,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
22.611511,88.251588,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
21.659165,88.595835,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
22.87086,87.511759,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
23.146433,88.270354,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
22.646133,88.164368,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
22.23517,87.562847,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
21.44667,88.715545,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
23.063409,90.160222,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
22.201465,88.859854,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
22.423594,88.679275,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
20.902557,87.790289,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
20.500662,88.920085,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
23.388305,86.232071,60.0,0,0.5,328.354,Very Heavy,2025-04-27 00:22:33
