latitude,longitude,altitude,reflectivity
22.508206251893792,88.41649273595125,112.0984591897577,40.492752
22.51070954627905,88.40481330225269,107.58811016567051,48.0
22.51006901565356,88.40394479179147,107.58811016567051,43.085712
22.49501231099597,88.36796500836216,107.58811016567051,50.0
22.494833762920997,88.36688111171084,107.58811016567051,48.45
22.474045479827016,86.55335075301532,2737.957880659029,40.357143
22.47347127946595,86.54365999172745,2763.2835920695215,42.07143
22.472896500214645,86.53396936823107,2788.726836355403,42.57143
22.497230881146702,86.57138295938014,2687.659060647711,41.141304
22.49677778043315,86.56168303478384,2712.749703168869,40.619564
22.496324098519732,86.55198323078173,2737.957880659029,45.847828
22.49586983544614,86.5422835477199,2763.2835920695215,45.858696
22.495414991252122,86.53258398594443,2788.726836355403,42.586956
22.49495956597755,86.52288454580135,2814.2876124568284,40.945652
22.519110808075993,86.56063546376595,2712.749703168869,44.24286
22.518778028395744,86.5509284219471,2737.957880659029,46.24286
22.518444665518803,86.54122148434199,2763.2835920695215,43.010715
22.86215763223972,86.7832916085,2233.2698514312506,40.36
22.88155604628318,86.78751419474177,2233.2698514312506,40.837837
22.575476446321478,88.41597187353949,98.92034150846303,49.5
22.574690993490826,88.41603796062111,98.92034150846303,49.34859
22.573910413329642,88.41609233790996,98.92034150846303,43.307693
24.08448626523293,88.01327172830294,8080.112417381257,48.0
24.088582432178285,88.03542796219038,8080.112417381257,48.0
23.23835100038675,89.5265949258021,6430.656939966604,40.554054
